id,source_dataset,source,published_at,title,summary,text,source_url,char_len,token_len,positive_term_count,negative_term_count,positive_term_rate,negative_term_rate,lexicon_net_score,up_term_count,down_term_count,direction_net_score,uncertainty_count,negation_count,money_count,percent_count,number_count,ticker_like_count,all_caps_count,has_numeric_signal,weak_label,label
WP-WSJ-0002354015,financial_news_rss,WSJ.com: Markets,"Mon, 27 Jan 2025 14:26:00 -0500",Stocks Sink in Broad AI Rout Sparked by China's DeepSeek,"U.S. stocks were mostly lower, with the Nasdaq leading declines as makers of AI infrastructure suffered steep falls, many in the double digits. Nvidia was down 16%.","Stocks Sink in Broad AI Rout Sparked by China's DeepSeek. U.S. stocks were mostly lower, with the Nasdaq leading declines as makers of AI infrastructure suffered steep falls, many in the double digits. Nvidia was down 16%.",https://www.wsj.com/articles/nikkei-may-rise-as-weak-yen-raises-earnings-hopes-776a8056?mod=rss_markets_main,222,37,0,0,0.0,0.0,0.0,0,3,-0.08108108108108109,0,0,0,1,1,2,3,1,neutral,neutral
WP-WSJ-0002354018,financial_news_rss,WSJ.com: Markets,"Mon, 27 Jan 2025 14:01:00 -0500","Comex Gold, Silver Settle Lower","Gold settled 1.4% lower, down two of the past three sessions, and silver fell 2.5%, down three of the past four sessions.","Comex Gold, Silver Settle Lower. Gold settled 1.4% lower, down two of the past three sessions, and silver fell 2.5%, down three of the past four sessions.",https://www.wsj.com/articles/gold-edges-lower-feds-rate-decision-in-focus-09dbfceb?mod=rss_markets_main,154,25,0,1,0.0,0.04,-0.04,0,5,-0.2,0,0,0,2,2,0,0,1,negative,negative
WP-WSJ-0002355367,financial_news_rss,WSJ.com: Markets,"Mon, 27 Jan 2025 13:12:00 -0500",DeepSeek Won't Sink U.S. AI Titans,"Panic fueling the selloff of Nvidia, Broadcom and other tech giants is overblown.","DeepSeek Won't Sink U.S. AI Titans. Panic fueling the selloff of Nvidia, Broadcom and other tech giants is overblown.",https://www.wsj.com/articles/deepseek-us-ai-stocks-nvidia-broadcom-6cdfae81?mod=rss_markets_main,117,20,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,2,0,neutral,neutral
WP-WSJ-0002355424,financial_news_rss,WSJ.com: Markets,"Mon, 27 Jan 2025 12:27:00 -0500",Financial Services Roundup: Market Talk,"Gain insight on Experian, SoFi Technologies and more in the latest Market Talks covering Financial Services.","Financial Services Roundup: Market Talk. Gain insight on Experian, SoFi Technologies and more in the latest Market Talks covering Financial Services.",https://www.wsj.com/articles/financial-services-roundup-market-talk-94f52cba?mod=rss_markets_main,149,21,1,0,0.047619047619047616,0.0,0.047619047619047616,1,0,0.047619047619047616,0,0,0,0,0,0,0,0,positive,positive
WP-WSJ-0002354874,financial_news_rss,WSJ.com: Markets,"Mon, 27 Jan 2025 12:20:00 -0500","Arabica Coffee Prices Hit Record on U.S., Colombia Tariff Spat","Arabica coffee prices hit a record level, as traders digested the withdrawal of President Trump’s threats to impose tariffs and economic sanctions on Colombia.","Arabica Coffee Prices Hit Record on U.S., Colombia Tariff Spat. Arabica coffee prices hit a record level, as traders digested the withdrawal of President Trump’s threats to impose tariffs and economic sanctions on Colombia.",https://www.wsj.com/articles/arabica-coffee-prices-hit-new-high-on-u-s-colombia-tariff-spat-582446fe?mod=rss_markets_main,223,36,2,0,0.05555555555555555,0.0,0.05555555555555555,0,0,0.0,0,0,0,0,0,0,1,0,positive,positive
WP-WSJ-0002354017,financial_news_rss,WSJ.com: Markets,"Mon, 27 Jan 2025 09:55:00 -0500","Swiss franc, Japanese yen Rise as DeepSeek News Boosts Safe Havens",The Yen and Swiss Franc were stronger against the dollar as investors sought safe havens after Chinese start-up DeepSeek’s new AI model hit U.S. tech stocks.,"Swiss franc, Japanese yen Rise as DeepSeek News Boosts Safe Havens. The Yen and Swiss Franc were stronger against the dollar as investors sought safe havens after Chinese start-up DeepSeek’s new AI model hit U.S. tech stocks.",https://www.wsj.com/articles/safe-haven-currencies-strengthen-amid-fears-over-global-tariffs-9964e17a?mod=rss_markets_main,225,39,1,0,0.02564102564102564,0.0,0.02564102564102564,1,0,0.02564102564102564,0,0,0,0,0,1,2,0,positive,positive
WP-WSJ-0002355062,financial_news_rss,WSJ.com: Markets,"Mon, 27 Jan 2025 09:05:00 -0500",Natural Gas Falls on Shifting Weather Forecasts,U.S. natural gas futures fell after weekend updates took some of the chill out of early February weather forecasts.,Natural Gas Falls on Shifting Weather Forecasts. U.S. natural gas futures fell after weekend updates took some of the chill out of early February weather forecasts.,https://www.wsj.com/articles/u-s-natural-gas-futures-fall-on-shifting-weather-forecasts-1ef3e457?mod=rss_markets_main,164,27,0,1,0.0,0.037037037037037035,-0.037037037037037035,0,2,-0.07407407407407407,0,0,0,0,0,0,1,0,negative,negative
WP-WSJ-0002353768,financial_news_rss,WSJ.com: Markets,"Mon, 27 Jan 2025 08:28:00 -0500",Building-Products Distributor QXO Launches Hostile Bid for Beacon,QXO is taking its offer directly to shareholders after being rebuffed on several occasions.,Building-Products Distributor QXO Launches Hostile Bid for Beacon. QXO is taking its offer directly to shareholders after being rebuffed on several occasions.,https://www.wsj.com/articles/building-products-distributor-qxo-launching-hostile-bid-for-beacon-de024410?mod=rss_markets_main,158,22,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,2,2,0,neutral,neutral
WP-WSJ-0002353480,financial_news_rss,WSJ.com: Markets,"Mon, 27 Jan 2025 06:57:00 -0500",Natural-Gas Firm Diversified Energy Strikes Deal for Permian Basin Player,Maverick Natural Resources has operations in Texas and Oklahoma.,Natural-Gas Firm Diversified Energy Strikes Deal for Permian Basin Player. Maverick Natural Resources has operations in Texas and Oklahoma.,https://www.wsj.com/articles/natural-gas-firm-diversified-energy-nears-deal-for-permian-basin-player-4c1c5ff5?mod=rss_markets_main,139,19,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,neutral,neutral
WP-WSJ-0002351293,financial_news_rss,WSJ.com: Markets,"Mon, 27 Jan 2025 05:30:00 -0500",What's New This Tax Season That Can Save You Money,"There are some new wrinkles, especially for those who sell things online or bought an EV.","What's New This Tax Season That Can Save You Money. There are some new wrinkles, especially for those who sell things online or bought an EV.",https://www.wsj.com/articles/tax-season-2024-irs-filing-dates-explained-628a8b37?mod=rss_markets_main,141,26,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,1,0,neutral,neutral
WP-WSJ-0002350292,financial_news_rss,WSJ.com: Markets,"Mon, 27 Jan 2025 05:30:00 -0500",Chinese Investors With Few Options Turn to Dividends,Companies with good payouts are now the hottest bet in China markets.,Chinese Investors With Few Options Turn to Dividends. Companies with good payouts are now the hottest bet in China markets.,https://www.wsj.com/articles/chinese-investors-with-few-options-turn-to-dividends-ad31dcc4?mod=rss_markets_main,123,20,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,neutral,neutral
WP-WSJ-0002354019,financial_news_rss,WSJ.com: Markets,"Mon, 27 Jan 2025 05:02:00 -0500",U.S. Treasury Yields Fall But Direction for Long-End Yields Still Seen Upward,The 10-year U.S. Treasury yield fell and ING said the the long end of the Treasury curve will continue trading at higher yields even as Trump hasn’t delivered anything to shock markets so far.,U.S. Treasury Yields Fall But Direction for Long-End Yields Still Seen Upward. The 10-year U.S. Treasury yield fell and ING said the the long end of the Treasury curve will continue trading at higher yields even as Trump hasn’t delivered anything to shock markets so far.,https://www.wsj.com/articles/jgbs-consolidate-supported-by-u-s-treasurys-gains-7edccc7d?mod=rss_markets_main,271,49,1,2,0.02040816326530612,0.04081632653061224,-0.02040816326530612,1,2,-0.02040816326530612,0,0,0,0,1,1,3,1,negative,negative
WP-WSJ-0002354021,financial_news_rss,WSJ.com: Markets,"Mon, 27 Jan 2025 04:46:00 -0500","Russia's Crude Exports Fairly Stable Despite U.S. Sanctions, Goldman Says",Oil edged lower in early trade as Goldman Sachs said the latest round of U.S. sanctions against Russia haven’t had a significant impact on the country’s oil exports.,"Russia's Crude Exports Fairly Stable Despite U.S. Sanctions, Goldman Says. Oil edged lower in early trade as Goldman Sachs said the latest round of U.S. sanctions against Russia haven’t had a significant impact on the country’s oil exports.",https://www.wsj.com/articles/oil-futures-fall-after-trump-calls-for-tariffs-on-colombia-5b2a178c?mod=rss_markets_main,240,42,0,0,0.0,0.0,0.0,0,1,-0.023809523809523808,0,0,0,0,0,0,2,0,neutral,neutral
WP-WSJ-0002327050,financial_news_rss,WSJ.com: Markets,"Mon, 27 Jan 2025 01:05:00 -0500",The Extra Reward for Owning Stocks Over Bonds Has Disappeared,"There is little sign of crimped demand for equities among individual investors, who remain bullish after two years of blockbuster gains.","The Extra Reward for Owning Stocks Over Bonds Has Disappeared. There is little sign of crimped demand for equities among individual investors, who remain bullish after two years of blockbuster gains.",https://www.wsj.com/articles/the-extra-reward-for-owning-stocks-over-bonds-has-disappeared-c3f9c223?mod=rss_markets_main,199,31,2,0,0.06451612903225806,0.0,0.06451612903225806,1,0,0.03225806451612903,0,0,0,0,0,0,0,0,positive,positive
WP-WSJ-0002000974,financial_news_rss,WSJ.com: Markets,"Sun, 26 Jan 2025 22:33:00 -0500",Heard on the Street's Stock-Picking Series,Check out the stocks Heard on the Street writers favor in their eighth annual stock-picking contest.,Heard on the Street's Stock-Picking Series. Check out the stocks Heard on the Street writers favor in their eighth annual stock-picking contest.,https://www.wsj.com/articles/heard-on-the-streets-stock-picking-series-98f04640?mod=rss_markets_main,144,22,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,neutral,neutral
WP-WSJ-0002350583,financial_news_rss,WSJ.com: Markets,"Sun, 26 Jan 2025 06:00:00 -0500",What Will It Take for Home Buyers to Start Asking for a Disaster Discount?,The real costs of owning a house in neighborhoods that are vulnerable to flooding and wildfires are becoming clearer.,What Will It Take for Home Buyers to Start Asking for a Disaster Discount?. The real costs of owning a house in neighborhoods that are vulnerable to flooding and wildfires are becoming clearer.,https://www.wsj.com/articles/what-will-it-take-for-home-buyers-to-start-asking-for-a-disaster-discount-c662cb96?mod=rss_markets_main,193,33,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,neutral,neutral
WP-WSJ-0002352807,financial_news_rss,WSJ.com: Markets,"Sun, 26 Jan 2025 05:30:00 -0500",Now Wanted in Silicon Valley: Ho-Hum Businesses With Thin Profit Margins,"Venture-capital firms are bringing AI and dealmaking to accounting, property management and other unglamorous fields.","Now Wanted in Silicon Valley: Ho-Hum Businesses With Thin Profit Margins. Venture-capital firms are bringing AI and dealmaking to accounting, property management and other unglamorous fields.",https://www.wsj.com/articles/now-wanted-in-silicon-valley-ho-hum-businesses-with-thin-profit-margins-ab07de5f?mod=rss_markets_main,191,26,1,0,0.038461538461538464,0.0,0.038461538461538464,0,0,0.0,0,0,0,0,0,1,1,0,positive,positive
WP-WSJ-0002351018,financial_news_rss,WSJ.com: Markets,"Sun, 26 Jan 2025 00:01:00 -0500","In China, a Cat-and-Mouse Game to Rein In Crypto","Recent court cases reveal how middlemen are facilitating a booming trade, eluding a crackdown.","In China, a Cat-and-Mouse Game to Rein In Crypto. Recent court cases reveal how middlemen are facilitating a booming trade, eluding a crackdown.",https://www.wsj.com/articles/china-cryptocurrency-market-trading-restrictions-3e050cd9?mod=rss_markets_main,144,23,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,neutral,neutral
WP-WSJ-0002305634,financial_news_rss,WSJ.com: Markets,"Sat, 25 Jan 2025 21:00:00 -0500","One House, Three Owners: The Ballooning Cost of the American Dream",The story of home affordability in the U.S. told from a single front porch.,"One House, Three Owners: The Ballooning Cost of the American Dream. The story of home affordability in the U.S. told from a single front porch.",https://www.wsj.com/articles/rising-house-mortgage-costs-north-carolina-home-468a46e5?mod=rss_markets_main,143,26,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,neutral,neutral
WP-WSJ-0002351471,financial_news_rss,WSJ.com: Markets,"Sat, 25 Jan 2025 05:30:00 -0500",Trump Adds Fuel to Claims That Big Banks Discriminate Against Conservatives,The president has told Bank of America and JPMorgan Chase to stop cutting conservatives off from doing business.,Trump Adds Fuel to Claims That Big Banks Discriminate Against Conservatives. The president has told Bank of America and JPMorgan Chase to stop cutting conservatives off from doing business.,https://www.wsj.com/articles/trump-big-bank-conservative-bias-accusations-168abb27?mod=rss_markets_main,189,29,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,neutral,neutral
108299264,financial_news_rss,US Top News and Analysis,"Thu, 30 Apr 2026 12:01:35 GMT","Eli Lilly blows past quarterly estimates, hikes outlook as Zepbound and Mounjaro sales skyrocket","Lilly hiked its full-year sales outlook by $2 billion, and also raised its adjusted profit guidance.","Eli Lilly blows past quarterly estimates, hikes outlook as Zepbound and Mounjaro sales skyrocket. Lilly hiked its full-year sales outlook by $2 billion, and also raised its adjusted profit guidance.",https://www.cnbc.com/2026/04/30/eli-lilly-lly-earnings-q1-2026.html,198,30,1,0,0.03333333333333333,0.0,0.03333333333333333,0,0,0.0,1,0,1,0,1,0,0,1,positive,positive
108299654,financial_news_rss,US Top News and Analysis,"Thu, 30 Apr 2026 11:37:24 GMT",Brent oil pares gains after climbing to $126 per barrel on U.S.-Iran escalation fears,"Brent crude surged to its highest levels since early 2022, before paring gains, as the Middle East conflict chokes supplies.","Brent oil pares gains after climbing to $126 per barrel on U.S.-Iran escalation fears. Brent crude surged to its highest levels since early 2022, before paring gains, as the Middle East conflict chokes supplies.",https://www.cnbc.com/2026/04/30/oil-prices-today-brent-wti-us-iran-war-trump.html,211,35,2,0,0.05714285714285714,0.0,0.05714285714285714,2,0,0.05714285714285714,0,0,1,0,2,0,0,1,positive,positive
108299596,financial_news_rss,US Top News and Analysis,"Thu, 30 Apr 2026 10:32:45 GMT","Merck beats quarterly estimates on strength of Keytruda and new products, narrows outlook",Merck narrowed its 2026 sales guidance and hiked its adjusted profit outlook.,"Merck beats quarterly estimates on strength of Keytruda and new products, narrows outlook. Merck narrowed its 2026 sales guidance and hiked its adjusted profit outlook.",https://www.cnbc.com/2026/04/30/merck-mrk-earnings-q1-2026.html,168,24,3,0,0.125,0.0,0.125,0,0,0.0,1,0,0,0,1,0,0,1,positive,positive
108299212,financial_news_rss,US Top News and Analysis,"Wed, 29 Apr 2026 19:32:45 GMT","Jerome Powell says he will continue to serve as a Fed governor, calls Trump criticism 'unprecedented'",Powell addressed the question of whether he will stay on as a Board of Governors member after his term as chair ends.,"Jerome Powell says he will continue to serve as a Fed governor, calls Trump criticism 'unprecedented'. Powell addressed the question of whether he will stay on as a Board of Governors member after his term as chair ends.",https://www.cnbc.com/2026/04/29/jerome-powell-says-he-will-continue-to-serve-as-a-fed-governor-even-after-chairmanship-ends-.html,220,38,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,neutral,neutral
108298078,financial_news_rss,US Top News and Analysis,"Thu, 30 Apr 2026 02:05:49 GMT",Microsoft calls for $190 billion in 2026 capital spending on soaring memory prices,"Microsoft's forecast on revenue and operating margin was light, but the company sees $190 billion in 2026 capital spending, well above Wall Street's estimate.","Microsoft calls for $190 billion in 2026 capital spending on soaring memory prices. Microsoft's forecast on revenue and operating margin was light, but the company sees $190 billion in 2026 capital spending, well above Wall Street's estimate.",https://www.cnbc.com/2026/04/29/microsoft-msft-q3-earnings-report-2026.html,242,35,0,0,0.0,0.0,0.0,0,0,0.0,1,0,2,0,4,0,0,1,neutral,neutral
108298432,financial_news_rss,US Top News and Analysis,"Thu, 30 Apr 2026 11:16:27 GMT",Here's why surging oil prices may not derail the consumer trade,Wall Street is already looking beyond Big Tech quarterly results.,Here's why surging oil prices may not derail the consumer trade. Wall Street is already looking beyond Big Tech quarterly results.,https://www.cnbc.com/2026/04/30/why-surging-oil-prices-may-not-derail-the-consumer-trade.html,130,21,0,0,0.0,0.0,0.0,0,0,0.0,1,1,0,0,0,0,0,0,neutral,neutral
108299067,financial_news_rss,US Top News and Analysis,"Wed, 29 Apr 2026 19:25:28 GMT",Fed holds rates steady but with highest level of dissent since 1992,The Federal Reserve on Wednesday released its latest decision on interest rates.,Fed holds rates steady but with highest level of dissent since 1992. The Federal Reserve on Wednesday released its latest decision on interest rates.,https://www.cnbc.com/2026/04/29/fed-interest-rate-decision-april-2026.html,149,23,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,neutral,neutral
108299722,financial_news_rss,US Top News and Analysis,"Thu, 30 Apr 2026 10:09:20 GMT",U.S. weighs 'reduction' of troops in Germany as Trump's feud with Berlin deepens,"The U.S. is considering the possibility of reducing the number of troops it has stationed in Germany, President Donald Trump said.","U.S. weighs 'reduction' of troops in Germany as Trump's feud with Berlin deepens. The U.S. is considering the possibility of reducing the number of troops it has stationed in Germany, President Donald Trump said.",https://www.cnbc.com/2026/04/30/us-reviews-cutting-troop-numbers-in-germany-amid-trumps-berlin-feud-.html,212,36,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,neutral,neutral
108299586,financial_news_rss,US Top News and Analysis,"Wed, 29 Apr 2026 22:53:40 GMT",Democrats vow to fight back after Supreme Court Voting Rights Act ruling,"The Supreme Court's decision on Wednesday to weaken a provision of the Voting Rights Act strikes down a Democrat-held, majority-Black district in Louisiana.","Democrats vow to fight back after Supreme Court Voting Rights Act ruling. The Supreme Court's decision on Wednesday to weaken a provision of the Voting Rights Act strikes down a Democrat-held, majority-Black district in Louisiana.",https://www.cnbc.com/2026/04/29/democrats-supreme-court-voting-rights-act.html,230,35,0,0,0.0,0.0,0.0,0,1,-0.02857142857142857,0,0,0,0,0,0,0,0,neutral,neutral
108298642,financial_news_rss,US Top News and Analysis,"Thu, 30 Apr 2026 11:51:09 GMT",Lawyers to the wealthy warn that AI legal advice comes with serious risks,"Asking ChatGPT how to divide your fortune or design a prenup can be used against you in court, lawyers say.","Lawyers to the wealthy warn that AI legal advice comes with serious risks. Asking ChatGPT how to divide your fortune or design a prenup can be used against you in court, lawyers say.",https://www.cnbc.com/2026/04/30/ai-legal-advice-lawyers-risks.html,182,33,0,1,0.0,0.030303030303030304,-0.030303030303030304,0,0,0.0,0,0,0,0,0,1,1,0,negative,negative
108299295,financial_news_rss,US Top News and Analysis,"Thu, 30 Apr 2026 09:00:01 GMT","Democrats urge CFTC to rein in prediction markets sports betting, insider trading","Sen. Jeff Merkley, D-Ore., led a letter — first reported by CNBC — to the CFTC asking for stricter rules for companies like Kalshi and Polymarket.","Democrats urge CFTC to rein in prediction markets sports betting, insider trading. Sen. Jeff Merkley, D-Ore., led a letter — first reported by CNBC — to the CFTC asking for stricter rules for companies like Kalshi and Polymarket.",https://www.cnbc.com/2026/04/30/congress-kalshi-polymarket-prediction-markets-cftc.html,229,36,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,3,3,0,neutral,neutral
108298994,financial_news_rss,US Top News and Analysis,"Thu, 30 Apr 2026 08:59:35 GMT",Nvidia just invested in the AI legal startup that's splashing Jude Law ads everywhere,"Swedish startup Legora has raised more than $800 million in the past 12 months, and the latest deal values it at $5.6 billion.","Nvidia just invested in the AI legal startup that's splashing Jude Law ads everywhere. Swedish startup Legora has raised more than $800 million in the past 12 months, and the latest deal values it at $5.6 billion.",https://www.cnbc.com/2026/04/30/nvidia-backs-ai-legal-tech-legora.html,213,36,0,0,0.0,0.0,0.0,0,0,0.0,0,0,2,0,3,1,1,1,neutral,neutral
108299621,financial_news_rss,US Top News and Analysis,"Wed, 29 Apr 2026 23:09:46 GMT","Anthropic in talks with investors to raise funds at $900 billion valuation, higher than OpenAI","Anthropic is in talks with investors about raising cash at a valuation of $900 billion, CNBC has confirmed.","Anthropic in talks with investors to raise funds at $900 billion valuation, higher than OpenAI. Anthropic is in talks with investors about raising cash at a valuation of $900 billion, CNBC has confirmed.",https://www.cnbc.com/2026/04/29/anthropic-weighs-raising-funds-at-900b-valuation-topping-openai.html,203,33,1,0,0.030303030303030304,0.0,0.030303030303030304,1,0,0.030303030303030304,0,0,2,0,2,1,1,1,positive,positive
108299630,financial_news_rss,US Top News and Analysis,"Thu, 30 Apr 2026 01:02:40 GMT",Investors still trust Google more than Meta when it comes to spending their money on AI,"Alphabet and Meta both boosted their capex guidance in their first-quarter earnings reports, but Wall Street viewed one much more favorably than the other.","Investors still trust Google more than Meta when it comes to spending their money on AI. Alphabet and Meta both boosted their capex guidance in their first-quarter earnings reports, but Wall Street viewed one much more favorably than the other.",https://www.cnbc.com/2026/04/29/investors-trust-google-more-than-meta-when-comes-to-spending-on-ai.html,244,40,0,0,0.0,0.0,0.0,0,0,0.0,1,0,0,0,0,1,1,0,neutral,neutral
